time,value
08:05:59,76
08:06:04,73
08:06:09,74
08:06:14,75
08:06:19,73
08:06:34,73
08:06:39,75
08:06:44,77
08:06:49,79
08:06:54,80
08:07:09,79
08:07:24,79
08:07:34,78
08:07:39,79
08:07:44,78
08:07:49,73
08:07:54,71
08:07:59,72
08:08:04,74
08:08:09,76
08:08:14,77
08:08:19,78
08:08:34,75
08:08:39,74
08:08:44,72
08:08:49,71
08:08:54,72
08:08:59,73
08:09:04,74
08:09:14,76
08:09:19,78
08:09:24,70
08:09:29,66
08:09:39,67
08:09:44,69
08:09:49,72
08:09:54,73
08:10:04,74
08:10:09,75
08:10:19,76
08:10:24,77
08:10:34,78
08:10:44,79
08:10:54,80
08:11:04,81
08:11:19,81
08:11:24,81
08:11:39,83
08:11:44,94
08:11:49,91
08:11:54,83
08:11:59,78
08:12:04,77
08:12:09,75
08:12:14,74
08:12:19,73
08:12:29,74
08:12:39,71
08:12:44,69
08:12:54,71
08:13:04,69
08:13:09,70
08:13:14,73
08:13:19,74
08:13:24,72
08:13:29,72
08:13:34,73
08:13:39,71
08:13:44,70
08:13:49,72
08:13:54,73
08:13:59,69
08:14:04,68
08:14:14,69
08:14:24,70
08:14:29,71
08:14:34,72
08:14:49,73
08:15:04,73
08:15:09,75
08:15:14,76
08:15:19,78
08:15:24,75
08:15:29,69
08:15:34,67
08:15:39,69
08:15:44,73
08:15:49,74
08:15:54,72
08:15:59,70
08:16:04,69
08:16:14,70
08:16:19,71
08:16:24,72
08:16:29,73
08:16:34,74
08:16:39,75
08:16:44,76
08:16:49,78
08:16:59,79
08:17:09,80
08:17:19,82
08:17:24,83
08:17:29,87
08:17:34,91
08:17:49,91
08:17:59,92
08:18:04,89
08:18:09,85
08:18:14,82
08:18:19,81
08:18:24,78
08:18:29,77
08:18:44,77
08:18:49,78
08:18:54,77
08:18:59,78
08:19:04,76
08:19:09,75
08:19:19,77
08:19:24,79
08:19:29,81
08:19:34,83
08:19:39,84
08:19:44,81
08:19:49,77
08:19:54,75
08:19:59,72
08:20:14,72
08:20:19,71
08:20:29,72
08:20:34,71
08:20:39,73
08:20:44,75
08:20:49,73
08:20:59,74
08:21:04,75
08:21:14,77
08:21:19,76
08:21:24,70
08:21:29,69
08:21:44,69
08:21:49,71
08:21:54,73
08:22:09,73
08:22:14,70
08:22:24,72
08:22:29,73
08:22:44,72
08:22:59,72
08:23:04,71
08:23:19,71
08:23:29,72
08:23:34,73
08:23:39,75
08:23:54,75
08:23:59,74
08:24:14,74
08:24:19,75
08:24:29,76
08:24:39,77
08:24:49,74
08:24:54,69
08:24:59,68
08:25:14,75
08:25:19,78
08:25:24,76
08:25:29,73
08:25:34,72
08:25:44,73
08:25:49,74
08:26:04,76
08:26:09,73
08:26:14,71
08:26:19,71
08:26:24,73
08:26:39,74
08:26:44,75
08:26:49,75
08:26:54,71
08:26:59,69
08:27:04,70
08:27:09,71
08:27:14,72
08:27:19,73
08:27:24,72
08:27:34,73
08:27:44,75
08:27:49,74
08:27:54,69
08:27:59,68
08:28:09,69
08:28:19,71
08:28:24,72
08:28:29,74
08:28:34,75
08:28:39,76
08:28:44,75
08:28:49,72
08:28:54,71
08:29:04,72
08:29:09,73
08:29:14,75
08:29:24,74
08:29:34,75
08:29:39,76
08:29:44,78
08:29:49,71
08:29:54,65
08:29:59,64
08:30:04,67
08:30:09,70
08:30:19,69
08:30:29,71
08:30:34,72
08:30:39,75
08:30:44,74
08:30:49,69
08:30:54,64
08:31:04,66
08:31:09,68
08:31:14,70
08:31:19,72
08:31:29,73
08:31:34,74
08:31:44,73
08:31:49,74
08:31:54,75
08:31:59,75
08:32:09,72
08:32:19,73
08:32:24,74
08:32:29,73
08:32:39,74
08:32:44,73
08:32:49,72
08:32:54,71
08:32:59,70
08:33:04,69
08:33:09,66
08:33:14,63
08:33:19,62
08:33:24,63
08:33:29,65
08:33:34,66
08:33:39,68
08:33:44,70
08:33:49,72
08:33:54,73
08:34:04,74
08:34:09,72
08:34:14,69
08:34:29,69
08:34:34,70
08:34:44,69
08:34:49,70
08:34:54,69
08:34:59,65
08:35:14,66
08:35:19,64
08:35:29,67
08:35:34,68
08:35:44,70
08:35:49,73
08:35:54,67
08:35:59,63
08:36:04,61
08:36:14,64
08:36:19,66
08:36:24,67
08:36:29,68
08:36:34,73
08:36:44,72
08:36:59,73
08:37:04,72
08:37:14,74
08:37:19,76
08:37:24,77
08:37:29,82
08:37:34,84
08:37:39,81
08:37:44,75
08:37:49,71
08:37:54,70
08:37:59,68
08:38:04,66
08:38:09,64
08:38:14,64
08:38:19,61
08:38:24,60
08:38:29,64
08:38:34,67
08:38:39,66
08:38:44,65
08:38:49,67
08:39:04,65
08:39:09,66
08:39:14,67
08:39:19,68
08:39:24,69
08:39:29,68
08:39:34,67
08:39:39,66
08:39:44,67
08:39:49,71
08:39:59,69
08:40:04,67
08:40:09,68
08:40:14,69
08:40:19,67
08:40:24,66
08:40:29,67
08:40:34,68
08:40:39,70
08:40:44,69
08:40:49,68
08:40:59,70
08:41:04,71
08:41:14,77
08:41:19,98
08:41:29,94
08:41:34,93
08:41:39,89
08:41:44,79
08:41:49,70
08:41:54,63
08:41:59,62
08:42:04,63
08:42:09,65
08:42:14,68
08:42:19,66
08:42:34,66
08:42:39,71
08:42:44,67
08:42:49,62
08:42:54,61
08:42:59,63
08:43:04,65
08:43:09,66
08:43:14,67
08:43:24,71
08:43:29,75
08:43:34,71
08:43:39,69
08:43:44,68
08:43:49,67
08:44:04,68
08:44:09,70
08:44:14,73
08:44:19,73
08:44:24,70
08:44:29,67
08:44:34,65
08:44:39,66
08:44:44,69
08:44:49,70
08:44:54,73
08:44:59,70
08:45:04,65
08:45:09,65
08:45:19,68
08:45:24,81
08:45:29,84
08:45:34,85
08:45:44,92
08:45:49,102
08:45:54,107
08:45:59,103
08:46:04,98
08:46:09,84
08:46:14,83
08:46:19,84
08:46:24,87
08:46:29,88
08:46:34,82
08:46:39,77
08:46:44,71
08:46:59,72
08:47:04,70
08:47:09,69
08:47:24,69
08:47:29,70
08:47:34,74
08:47:39,77
08:47:44,71
08:47:49,69
08:47:54,66
08:48:04,70
08:48:09,69
08:48:19,70
08:48:29,73
08:48:34,71
08:48:39,73
08:48:44,72
08:48:49,69
08:48:54,72
08:48:59,75
08:49:04,71
08:49:09,70
08:49:14,71
08:49:19,72
08:49:24,74
08:49:29,72
08:49:34,69
08:49:39,69
08:49:44,70
08:49:49,75
08:49:54,77
08:50:04,76
08:50:09,73
08:50:14,69
08:50:19,68
08:50:24,70
08:50:29,68
08:50:39,72
08:50:44,75
08:50:49,68
08:50:54,65
08:50:59,66
08:51:04,67
08:51:09,68
08:51:14,70
08:51:19,74
08:51:24,76
08:51:29,73
08:51:34,68
08:51:39,69
08:51:44,71
08:51:49,74
08:51:54,72
08:51:59,69
08:52:04,70
08:52:09,74
08:52:14,76
08:52:24,77
08:52:29,89
08:52:34,88
08:52:39,79
08:52:44,71
08:52:49,70
08:52:54,69
08:53:09,69
08:53:14,70
08:53:19,71
08:53:24,72
08:53:39,71
08:53:54,74
08:53:59,75
08:54:04,76
08:54:09,75
08:54:19,76
08:54:24,75
08:54:29,74
08:54:44,73
08:54:59,74
08:55:14,75
08:55:19,76
08:55:29,75
08:55:34,74
08:55:44,73
08:55:54,74
08:55:59,76
08:56:04,75
08:56:09,73
08:56:19,74
08:56:29,75
08:56:34,76
08:56:39,74
08:56:44,73
08:56:59,73
08:57:04,74
08:57:09,73
08:57:24,74
08:57:29,76
08:57:34,76
08:57:44,77
08:57:49,75
08:57:54,71
08:58:04,71
